Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data & Analytics Associate Data Engineer,-1,"Do you love to apply your deep IT knowledge to delivering technology-based business ideas and capabilities? Apply with us!

In P&G IT - whether your role is to craft an IT innovation strategy for a business, protect our critical information systems and assets, or handle a strategic supplier in our state of the art service organization - your passion for technology and its business application will be recognized and rewarded.

We are looking for someone who is self-motivated, and able to source and develop data models to fuel the analytics, developed by the analysts and data scientists, which improve P&G’s business results. Technical mastery and interpersonal /communication skills are therefore a must to thrive in a team. Your job is to onboard complex data or optimize data models and code into scale pipes and jobs that will drive the analytics into insights.



Perform data discoveries to understand data formats, source systems, file sizes, etc. Additionally, may collect data delivered in various formats or from various systems (relational databases, FTP sites, file sharing sites (e.g. Box), external hard drives, etc.), load data in numerous different compressed and uncompressed formats (gzip, zip, tar, json, csv, Excel, etc.), perform data transformations using Hive and Impala to optimize data retrieval process and performance, create workflows for loading data on a scheduled basis using Oozie, shell scripting, sql, etc., basic working knowledge of database design and admin, and ability to create technical design documents



We produce globally recognized brands and we grow the best business leaders in the industry. With a portfolio of trusted brands as diverse as ours, it is paramount our leaders are able to lead with courage the vast array of brands, categories and functions. We serve consumers around the world with one of the strongest portfolios of trusted, quality, leadership brands, including Always®, Ariel®, Gillette®, Head & Shoulders®, Herbal Essences®, Oral-B®, Pampers®, Pantene®, Tampax® and more. Our community includes operations in approximately 70 countries worldwide.

Visit http://www.pg.com to know more.

Our consumers are diverse and our talents - internally - mirror this diversity to best serve it. That is why we’re committed to building a winning culture based on Inclusion and our ideal candidate is passionate about the same principle: you will join our daily effort of being “in touch” so we craft brands and products to improve the lives of the world’s consumers now and in the future. We want you to inspire us with your unrivaled ideas.

We are committed to providing equal opportunities in employment. We do not discriminate against individuals on the basis of race, color, gender, age, national origin, religion, sexual orientation, gender identity or expression, marital status, citizenship, disability, veteran status, HIV/AIDS status, or any other legally protected factor.



We are looking for leaders who have a bachelor degree in Business/Management Information Systems and/or Computer Science/Engineering, Programming/Software Development or Operations Research or Statistics who have:",4.2,"Procter & Gamble
4.2",Munro,-1,10000+ Employees,1837,Company - Public,-1,-1,$10+ billion (USD),-1
Senior Data Engineer IRC,-1,"Job: IRC103797
Location: Argentina - La Plata, Mendoza, Geodispersed, Buenos Aires
Designation: Senior Developer
Experience: 3-5 years
Function: Engineering
Skills: .net, Docker, Jenkins Pipelines, Kafka, Microservices, Spark, Unit Testing

Apply Now

Description:

The client provides more than 300 products and services that enable their customers to process financial transactions, automate their businesses, and succeed in an increasingly competitive marketplace",3.7,"GlobalLogic
3.7",Buenos Aires,-1,10000+ Employees,2000,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
System Engineer,-1,"System Engineer, Latin America, Remote
ABOUT:
Acclaro is a translation service and platform that helps the world’s leading brands succeed across cultures. Through a fine-tuned process, top industry talent and leading technologies, we make a long-term investment in our clients’ global brands.
Working in over 125 languages and with offices around the globe, Acclaro helps clients open new markets and gain a competitive edge by expertly adapting their brands and products with fast, high-quality translations.
DESCRIPTION:
The Acclaro IT team is actively seeking an experienced Systems Engineer to join our team. This role will report to our Head of IT. This is an exciting opportunity to leverage your existing IT capabilities within a growing team and learn new skills along the way. The Systems Engineer will manage Acclaro’s mission critical external and internal systems ensuring our clients and staff can safely access their files and data.",-1,beyont,Buenos Aires,-1,-1,-1,-1,-1,-1,-1,-1
Data Platform Engineer,-1,"MURAL is on a mission to inspire and connect imagination workers globally.
MURAL is a digital workspace for visual collaboration that connects over 50 percent of the Fortune 100. Teams at global enterprises including IBM, USAA, E-Trade, Intuit, SAP, Atlassian, Autodesk, and GitHub embrace visual collaboration to run more productive meetings and workshops. This leads to a more creative, engaging, and fun way of working together, all in a welcoming, simple-to-use online space.
Headquartered in San Francisco, California, MURAL employs over 300 people around the world. In 2020, MURAL raised $118M in a series B round of financing and are working hard to take MURAL to the next level.",4.8,"MURAL
4.8",Buenos Aires,-1,201 to 500 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Engineer,-1,"ABOUT FUSEMACHINES


Fusemachines is a leading AI strategy, talent, and education services provider. Founded by Sameer Maskey Ph.D., Adjunct Associate Professor at Columbia University, Fusemachines has a core mission of democratizing AI. With a presence in 4 countries (Nepal, the United States, Canada, and the Dominican Republic and more than 250 full-time employees) Fusemachines seeks to bring its global expertise in AI to transform companies around the world.

ABOUT THE ROLE




Education: Bachelors (required)

Must be fluent in English

Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.

Powered by JazzHR",3.8,"FuseMachines
3.8",Buenos Aires,-1,51 to 200 Employees,-1,Company - Private,Internet,Information Technology,Less than $1 million (USD),-1
Data Science Engineer,-1,"Jampp is a performance marketing platform for mobile advertisers with challenges that span many technologies, from an extremely scalable and highly available platform to big data tools that allow us to manage the big stream of data. We manage hundreds of instances buying impressions in a global market 24/7 with data centers in 3 continents, processing 150 TB daily, 850K QPS and 55+ billion in-app events per month. In order to pick the best ads and show them to the right people at the right time, we rely on real-time machine learning models (with billions of features) that predict in less than 1ms as well as optimization systems which solve complex constrained problems to maximize global company goals in an iterative fashion.

As a Data Science Engineer you will work with other team members to design, prototype and build scalable distributed optimization and forecasting systems that will be used to enhance the machine learning platform we have.",3.9,"Jampp
3.9",Buenos Aires,-1,51 to 200 Employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Engineer,-1,"Responsibilities
This role is responsible for coding of the large volume of processing that will need to be done. They will be responsible for determining the most efficient way to store / access our data; and writing code that will process the data in an efficient and parallel manner. This role is naturally oriented to the cloud. As such they will need to be familiar with AWS

Qualifications and Experience
Must have:
Spark data processing",4.2,"Endava
4.2",Rosario,-1,5001 to 10000 Employees,2000,Company - Public,IT Services,Information Technology,$100 to $500 million (USD),-1
Data Engineer,-1,"Buscamos una persona proactiva, con ganas de incorporarse a nuestro equipo de big data!

Proveemos soluciones y servicios para ayudar a las empresas a obtener de manera fácil y rápida las respuestas que necesitan a partir del procesamiento de datos complejos. Nos especializamos en Business Analytics & Big Data, tenemos conocimientos en todas las tecnologías líderes y experiencia en distintas industrias.
Contamos con oficinas en Buenos Aires,Cordoba, Bogotá y Chile

Requisitos

Conocimientos en:
Python
Azure
Cosmos DB
DataFactory
SQL Server
Inglés intermedio - avanzado

Beneficios

Prepaga Swiss Medical
Plan de Capacitaciones
Cursos de inglés
Plan de referidos internos
Presente por cumpleaños y días especiales
Entre otros...",3.8,"COREBI
3.8",Córdoba,-1,51 to 200 Employees,2006,Company - Private,-1,-1,$1 to $5 million (USD),-1
Data Engineer,-1,"Fecha de publicación
29/05/2020
Lugar de trabajo
Villa Urquiza, Caba
Empresa
Sankalpa Consultora
Permite trabajar remoto
No
Seniority requerido
Senior
Email de contacto
info@sankalpaconsultora.com",5.0,"Sankalpa Consultora
5.0",Villa Urquiza,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Data Engineer,-1,"Job Description

We are looking for a qualified Data Engineer to join our growing department. The hire will be responsible for building and maintaining the data architecture of a solution, as well as optimizing data flow and collection for cross-functional teams. The ideal player is an experienced data pipeline builder with strong skills in software engineering who enjoys developing and optimizing data systems. The Data Engineer will support our software developers, data architects, data analysts and data scientists on their initiatives and will ensure optimal delivery is consistent throughout ongoing projects.










At least one case handling large datasets (i.e. millions of records).






2+ years of code versioning through a system like Git or SVN.",5.0,"Fligoo
5.0",Córdoba,-1,1 to 50 Employees,2013,Company - Private,Internet,Information Technology,$1 to $5 million (USD),-1
